name,category,description,theoretical_role,design,preset,seed_mode
OPPORTUNITY_COMPONENT_FIT_ON,mechanism_decomposition,"Attach knowledge-component requirements to opportunities so founder-specific component overlap creates within-sector fit, with no strategy-rule change.",Isolates whether finer founder-opportunity fit disperses selection or attenuates the frontier deficit without bundling comparative-advantage strategy.,fixed_mixed,expanded,paired
ENDOGENOUS_OPPORTUNITIES_ONLY,mechanism_decomposition,Disable background public-opportunity replenishment after initialization; exploration and successful innovation remain the only sources of new opportunities.,Tests whether the result and open-futures dynamics depend on an exogenous continuing flow of market opportunities.,fixed_mixed,expanded,paired
NICHE_MULTIPLICITY_ONE,mechanism_decomposition,Each successful exploration-created niche event opens exactly one opportunity instead of a uniform one-to-three draw.,Lower-bound test for whether arbitrary niche multiplicity manufactures the opportunity-creation channel.,fixed_mixed,expanded,paired
NICHE_MULTIPLICITY_FIXED_TWO,mechanism_decomposition,"Each successful exploration-created niche event opens exactly two opportunities, preserving the baseline draw's mean while removing its variance.",Tests whether stochastic multiplicity rather than endogenous creation drives the result.,fixed_mixed,expanded,paired
NICHE_MULTIPLICITY_THREE,mechanism_decomposition,Each successful exploration-created niche event opens exactly three opportunities.,Upper-bound dose test for the opportunity-creation multiplicity assumption.,fixed_mixed,expanded,paired
NO_AI_HERDING_RECURSION,mechanism_decomposition,Suppress AI herding and AI action-correlation contributions to uncertainty recursion.,Tests whether the paradox depends on shared AI signal convergence specifically.,fixed_mixed,core,paired
CASH_ONLY_SURVIVAL,mechanism_decomposition,Legacy cash-on-hand survival rule: in-flight investment capital does not count toward solvency (counterfactual to the net-worth default).,Isolates how much of the frontier survival gap is illiquidity (deployed-but-maturing capital) versus genuine insolvency.,fixed_mixed,core,paired
LOW_CROWDING,mechanism_decomposition,Reduced opportunity-level competition accumulation and convex crowding strength.,Sensitivity check for the market convergence/crowding mechanism.,fixed_mixed,core,paired
HIGH_CROWDING,mechanism_decomposition,Increased opportunity-level competition accumulation and convex crowding strength.,Stress test for whether second-order costs intensify under denser convergence.,fixed_mixed,core,paired
AI_COST_2X,mechanism_decomposition,Double AI costs; bounds sensitivity to pricing assumptions.,Tests whether cost pressure amplifies but does not solely create the paradox.,fixed_mixed,core,paired
NO_RETURN_NOISE,mechanism_decomposition,Remove idiosyncratic execution noise on realized returns (RETURN_NOISE_SCALE=0); the opportunity-level Pareto draw remains.,Tests whether the frontier trap depends on noise-under-threshold success classification rather than convergence; also removes the only channel decorrelating co-investor outcomes.,fixed_mixed,core,paired
RETURN_NOISE_LOW,mechanism_decomposition,"Halve idiosyncratic return noise (sigma=0.19, 0.5x default).",Lower bracket of the execution-noise sensitivity sweep pending the venture-dispersion calibration pass.,fixed_mixed,core,paired
RETURN_NOISE_HIGH,mechanism_decomposition,"Increase idiosyncratic return noise by half (sigma=0.57, 1.5x default).",Upper bracket of the execution-noise sensitivity sweep pending the venture-dispersion calibration pass.,fixed_mixed,core,paired
NOVELTY_GENERALIZATION_STRESS_ON,mechanism_decomposition,"Enable an explicit AI generalization stress on novel, data-poor, stealth, and endogenous opportunities.","Tests a stronger agentic-novelty interpretation as a refutation/stress cell, not a baseline assumption.",fixed_mixed,expanded,paired
FRONTIER_COVERAGE_MAX,alternative_frontier_ai_specification,Frontier AI sees maximal public opportunity coverage and breadth.,"Operationalizes AGI as near-complete access to public, data-rich opportunity evidence.",fixed_mixed,minimal,paired
FRONTIER_REASONING_NO_ERROR,alternative_frontier_ai_specification,Frontier AI has near-perfect domain reasoning with zero hallucination in all AI domains.,Operationalizes AGI as reliable reasoning/calibration rather than merely more visible opportunities.,fixed_mixed,minimal,paired
FRONTIER_PUBLIC_OMNISCIENCE,alternative_frontier_ai_specification,"Frontier AI receives maximal public coverage, near-perfect domain reasoning, and large quality boosts.",Near-omniscience counterfactual for public-information access.,fixed_mixed,minimal,paired
FRONTIER_EXEC_5X,alternative_frontier_ai_specification,Frontier AI receives 5x investment execution success multiplier.,Tests whether execution dominance can overcome second-order future-knowledge costs.,fixed_mixed,minimal,paired
FRONTIER_EXEC_1_5X,alternative_frontier_ai_specification,Frontier AI receives 1.5x investment execution success multiplier.,Defensibility dose-response (P19): how strong must an isolating mechanism be to escape the trap?,fixed_mixed,expanded,paired
FRONTIER_EXEC_2X,alternative_frontier_ai_specification,Frontier AI receives 2x investment execution success multiplier.,Defensibility dose-response (P19).,fixed_mixed,expanded,paired
FRONTIER_EXEC_3X,alternative_frontier_ai_specification,Frontier AI receives 3x investment execution success multiplier.,Defensibility dose-response (P19).,fixed_mixed,expanded,paired
TRUNCATED_TAIL,opportunity_distribution,Conservative robustness: remove the canonical niche-size tail and retain truncated opportunity-return caps.,P20: the no-size-tail distribution is the conservative case; the trap should persist.,fixed_mixed,expanded,paired
MODERATE_TAIL,opportunity_distribution,Intermediate canonical tail: niche-size log-sigma halfway between truncated and baseline; return-tail settings retained for option-B comparisons.,P20: tail dose-response; the trap is robust across market-size tail weight.,fixed_mixed,expanded,paired
OPS_COST_060,cost_calibration_invariance,Operating-cost level 0.60 (lower; higher aggregate survival).,P21: the frontier deficit is invariant to where in the venture-class band the cost anchor sits.,fixed_mixed,expanded,paired
OPS_COST_075,cost_calibration_invariance,Operating-cost level 0.75 (between the low-cost stress and the calibrated 0.85 baseline).,P21 cost-calibration invariance.,fixed_mixed,expanded,paired
OPS_COST_100,cost_calibration_invariance,Operating-cost level 1.00 (default; lower aggregate survival).,P21 cost-calibration invariance.,fixed_mixed,expanded,paired
FRONTIER_QUALITY_PLUS50,alternative_frontier_ai_specification,Frontier AI receives +50pp innovation quality and information-quality boost.,Tests an AGI-as-output-quality interpretation rather than an AGI-as-market-convergence interpretation.,fixed_mixed,minimal,paired
ALL_FAVORABLE_TO_FRONTIER,alternative_frontier_ai_specification,Extreme pro-frontier cell: no AI cost/error/crowding/novelty penalty plus execution and quality boosts.,Sanity check that the model can reverse under an intentionally pro-frontier world.,fixed_mixed,minimal,paired
STRATEGIC_ANTICIPATION_ON,strategy_operationalization,Enable AI-assisted anticipation of crowded shared signals.,Independent-implementation robustness check for the canonical S1 strategy-ladder operationalization.,fixed_mixed,core,paired
STRATEGIC_DIVERSIFICATION_ON,strategy_operationalization,Enable anticipation plus equilibrium-aware diversification across near-top opportunities.,Independent-implementation robustness check for the canonical S1 strategy-ladder operationalization.,fixed_mixed,core,paired
AI_COMPLEMENTARITY_ON,alternative_frontier_ai_specification,AI accuracy depends on agent traits and sector knowledge.,Operationalizes AGI as a complement to entrepreneurial judgment rather than a substitute.,fixed_mixed,core,paired
SUBSCRIPTION_ERA,alternative_frontier_ai_specification,"Subscription-era pricing: monthly seat fees ($400 advanced / $3,500 frontier) plus metered usage, replacing the pure usage-based default.",Tests whether the frontier result depends on the marginal-compute pricing default rather than a subscription-plus-usage pricing architecture.,fixed_mixed,core,paired
DIFFICULTY_SCALED_AI_COST,alternative_frontier_ai_specification,AI call costs scale with opportunity complexity.,Tests whether frontier AGI is differentially exposed to expensive reasoning on hard opportunities.,fixed_mixed,core,paired
MARKET_SLACK_HIGH_CAPACITY,boundary_conditions_generalizability,Opportunity capacity is high and crowding is weaker.,Boundary condition: paradox should weaken when market slack absorbs convergent investment.,fixed_mixed,core,paired
CAPACITY_MEAN_HALF,boundary_conditions_generalizability,"Halve mean opportunity capacity while holding the oversubscription threshold, penalty strength, convexity, and capacity-tail dispersion fixed.",One-factor identification: tests whether the dollar capacity scale alone creates the tier contrast.,fixed_mixed,expanded,paired
CAPACITY_MEAN_DOUBLE,boundary_conditions_generalizability,"Double mean opportunity capacity while holding the oversubscription threshold, penalty strength, convexity, and capacity-tail dispersion fixed.",One-factor identification: tests whether the dollar capacity scale alone creates the tier contrast.,fixed_mixed,expanded,paired
CAPACITY_AWARE_SELECTION,boundary_conditions_generalizability,Agents fully discount the currently observable opportunity-specific I/K penalty when ranking opportunities; contemporaneous rival commitments remain unobserved.,Tests whether capacity losses require strategically naive founders rather than simultaneous convergence on opportunities that looked unsaturated at commitment.,fixed_mixed,expanded,paired
MARKET_DENSE_LOW_CAPACITY,boundary_conditions_generalizability,Opportunity capacity is low and crowding is stronger.,Boundary condition: paradox should strengthen when opportunity spaces saturate quickly.,fixed_mixed,core,paired
OPPORTUNITY_RICH_ENVIRONMENT,boundary_conditions_generalizability,More initial opportunities and higher discovery probability.,Boundary condition: broad opportunity supply should reduce convergence pressure.,fixed_mixed,core,paired
OPPORTUNITY_SPARSE_ENVIRONMENT,boundary_conditions_generalizability,Fewer initial opportunities and lower discovery probability.,Boundary condition: scarce opportunity supply should amplify convergence pressure.,fixed_mixed,core,paired
EQUAL_SECTORS,boundary_conditions_generalizability,"Even 25/25/25/25 split across the four sectors, replacing the NVCA-weighted 60% tech baseline.","Sector-composition robustness: if the deficit is an artifact of the tech-heavy weighting, a balanced population should eliminate it; we predict it attenuates but persists, because crowding operates within every sector.",fixed_mixed,expanded,paired
SERVICES_HEAVY,boundary_conditions_generalizability,Low-tech population dominated by services and retail (service 45 / retail 25 / manufacturing 20 / tech 10).,"Opposite extreme from the tech-heavy baseline: the high-competition, heavy-tail tech sector is where convergence bites hardest, so a services-heavy mix should show the smallest deficit; a deficit that survives here shows the paradox is not a tech-sector artifact.",fixed_mixed,expanded,paired
EMERGENT_ADOPTION_BASELINE,boundary_conditions_generalizability,Agents start without AI and choose tiers endogenously.,Generalizability check against fixed equal-tier assignment.,emergent,minimal,paired
FRONTIER_STRATEGY_CONSENSUS,agi_strategy_ladder,Frontier-tier agents anticipate consensus congestion (S1): expected returns of consensus-legible opportunities shaded before commitment.,Congestion channel: tests whether the frontier deficit shrinks when frontier users discount opportunities that many rivals' instruments also rank highly.,fixed_mixed,expanded,paired
FRONTIER_STRATEGY_COMPARATIVE,agi_strategy_ladder,"Frontier-tier agents re-rank by private edge (S2): sector familiarity, knowledge overlap, and execution traits weight the AI's landscape map.",Heterogeneity channel: tests whether founder-market fit adds dispersive information beyond the AI landscape map.,fixed_mixed,expanded,paired
FRONTIER_STRATEGY_COMPLEMENT,agi_strategy_ladder,Frontier-tier agents seek complements (S3): explore/innovate effort shifts toward opportunities where their own instrument reports low confidence.,"Trap attenuation, codifiability-frontier channel (Hayek/effectuation): building where shared models add least should reduce convergent entry.",fixed_mixed,expanded,paired
FRONTIER_STRATEGY_COMPOSITE,agi_strategy_ladder,Frontier-tier agents run S1+S2+S3 jointly (agi_native).,Frontier adaptivity composite: tests whether S1+S2+S3 together recover relative advantage beyond the FREE_AI bound.,fixed_mixed,expanded,paired
ALL_STRATEGY_CONSENSUS,agi_strategy_ladder,"Every agent anticipates consensus congestion (S1), regardless of tier.","Reflexivity relocation test: when contrarianism is widespread, does crowding relocate into formerly neglected opportunities or decline?",fixed_mixed,expanded,paired
ALL_STRATEGY_COMPARATIVE,agi_strategy_ladder,"Every agent re-ranks by private edge (S2), regardless of tier.",Reflexivity relocation test: symmetric founder-market-fit sorting should disperse entry along heterogeneous edges; P5 predicts the survival value of the strategy still rises with tier.,fixed_mixed,expanded,paired
ALL_STRATEGY_COMPARATIVE_COMPONENTS,agi_strategy_ladder,"Every agent re-ranks by private edge (S2) using PER-OPPORTUNITY knowledge-component overlap (ENABLE_OPPORTUNITY_COMPONENTS), not the coarse sector-familiarity fallback.","Tests whether within-sector founder-market fit (recombinant-knowledge overlap, gate ~0.55) adds dispersion beyond sector-familiarity S2.",fixed_mixed,expanded,paired
ALL_STRATEGY_COMPLEMENT,agi_strategy_ladder,"Every agent seeks complements (S3), regardless of tier.","Reflexivity relocation test: if everyone targets oracle-blind opportunities, second-order crowding should emerge in low-legibility niches (P4's signature).",fixed_mixed,expanded,paired
ALL_STRATEGY_COMPOSITE,agi_strategy_ladder,"Every agent runs S1+S2+S3 jointly (agi_native), regardless of tier.","Population-wide strategy test: does the paradox of future knowledge survive symmetric AGI-native strategy, or does reflexivity attenuate under symmetric sophistication?",fixed_mixed,expanded,paired
OPEN_ACTION_PIVOT,open_action_space,"Abandonment option (A1): agents review in-flight investments each round and may liquidate at an age-dependent haircut (0.40 → 0.75 of committed capital), redeploying the recovery. Deterioration gain 2.0 per liveness probe (scripts/probe_pivot_liveness.jl).",Pivot-channel test: measures whether escape from crowded commitments attenuates the trap and whether pivots re-correlate onto consensus second-best opportunities.,fixed_mixed,expanded,paired
OPEN_ACTION_DIRECTED_CREATION,open_action_space,Hayekian redirection (A2): innovating agents bias new-combination sector selection away from sectors they perceive as crowded toward sparse ones; creation volume is unchanged.,Directed-creation test: measures whether steering new combinations toward sparse sectors raises supply elasticity and attenuates convergence pressure.,fixed_mixed,expanded,paired
OPEN_ACTION_BOTH,open_action_space,Both open-action channels (A1 pivot + A2 directed creation) active for all agents. Pivot deterioration gain 2.0 per liveness probe.,P6 + P7 jointly: the full open-action space without strategic sophistication — does opening exit AND entry topology together leave the trap standing where each channel alone does?,fixed_mixed,expanded,paired
OPEN_ACTION_AGI_NATIVE_MARKET,open_action_space,"Maximal AGI-robustness cell: open action space (pivot + directed creation, pivot gain 2.0 per liveness probe) with every agent running the composite AGI-native strategy.",Joint open-action and strategy test: measures whether the paradox survives both open action spaces and population-wide strategic sophistication.,fixed_mixed,expanded,paired
DOSE_S1_FRONTIER_2X,dose_response,"Dose probe: S1 raw consensus discount 2.0, frontier-only. The use-site clamp [0,1] (strategy_shaded_return) neutralizes this to an effective 1.0 — i.e. the documented default. Under paired seeds this cell should be bit-identical to FRONTIER_STRATEGY_CONSENSUS; any divergence would flag a saturation mismatch.",Dose-response: verifies that the S1 default is already the maximum effective dose under the use-site clamp.,fixed_mixed,expanded,paired
DOSE_S1_FRONTIER_MAXX,dose_response,"Dose ceiling: S1 consensus discount 1.0, frontier-only — the maximum value NOT clamp-neutralized (use-site clamp [0,1]), which equals the conservative default already run. Together with the 2X probe this pins the S1 dose-response curve as saturated from the start.",Dose-response: bounds the S1 attenuation curve at the maximum expressible anticipatory-congestion discount.,fixed_mixed,expanded,paired
DOSE_S2_FRONTIER_2X,dose_response,"Dose: S2 edge weight 2.0, frontier-only — the use-site clamp ceiling [0,2] (strategy_score_multiplier), i.e. the maximum effective S2 dose, doubling the founder-market-fit re-ranking gradient vs the default 1.0. (The overall [0.25,2.0] multiplier clamp additionally binds when |edge − mean edge| > 0.5.)",Dose-response: bounds the S2 attenuation curve at its private-edge re-ranking ceiling.,fixed_mixed,expanded,paired
DOSE_COMPOSITE_FRONTIER_MAX,dose_response,"Maximal-dose composite (agi_native), frontier-only: consensus discount 1.0 (S1 already saturated at its [0,1] clamp ceiling), edge weight 2.0 ([0,2] ceiling), complement shift 2.0 (S3a [0,2] ceiling; the S3b softening path clamps strength to [0,1] and stays at its saturated default). The strongest frontier-only strategy treatment the implementation can express.",Dose-response: tests the strongest frontier-only composite strategy treatment expressible by the implementation.,fixed_mixed,expanded,paired
DOSE_COMPOSITE_ALL_MAX,dose_response,Maximal-dose composite (agi_native) for every tier: population-wide S1+S2+S3 at max-effective strengths (discount 1.0 / edge weight 2.0 / complement shift 2.0 — the use-site clamp ceilings).,"Dose-response analogue of P4 at the dial ceilings: does symmetric maximal sophistication retire the trap, relocate it, or leave it standing where defaults did neither? Bounds the population-wide attenuation curve.",fixed_mixed,expanded,paired
DOSE_PIVOT_GAIN_4X,dose_response,"Abandonment option at deterioration gain 4.0. Gain is validated >= 0 and unbounded above; the trigger d_eff = clamp(deterioration x conviction x gain, 0, 1).",Dose-response for the pivot channel: locates how higher pivot sensitivity changes exit behavior and trap attenuation at production scale.,fixed_mixed,expanded,paired
DOSE_PIVOT_GAIN_8X,dose_response,"Abandonment option at deterioration gain 8.0; d_eff saturates (=1) whenever deterioration x conviction >= 0.125, an aggressive upper anchor for the liveness curve.",Dose-response upper anchor for the pivot channel: tests whether making the trigger region highly reachable changes trap attenuation; pivot re-correlation onto consensus second-bests is reported either way.,fixed_mixed,expanded,paired
DOSE_OPEN_COMPOSITE_MAX,dose_response,Maximal-dose open-action cell: pivot at gain 8.0 + directed creation at default mixture strength + population-wide agi_native at max-effective strengths (discount 1.0 / edge 2.0 / shift 2.0).,Dose-response ceiling for the joint open-action and strategy treatment.,fixed_mixed,expanded,paired
AI_ERRORS_CORR_50,emergence_audit,"Half-shared AI estimate errors (AI_ERROR_CORRELATION rho=0.5): the continuous return-estimate error is sqrt(0.5)*eps_common(opp, round, tier) + sqrt(0.5)*eps_idio, total variance preserved — estimate accuracy is unchanged by construction; only cross-agent error commonality within a tier rises.","Quality-vs-commonality decomposition: at fixed accuracy, tests whether the frontier treatment effect changes with shared signal error.",fixed_mixed,expanded,paired
SHARED_AI_ERRORS,emergence_audit,"Fully shared AI estimate errors (AI_ERROR_CORRELATION rho=1.0): every same-tier agent's instrument draws THE SAME standard-normal error per (opportunity, round, tier) — the shared-foundation-model world with correlated blind spots — at exactly the per-agent error variance (accuracy) of the rho=0 default.",Quality-vs-commonality endpoint: tests whether fully shared signal error deepens convergence at unchanged per-agent accuracy.,fixed_mixed,expanded,paired
DECISION_NOISE_HIGH,emergence_audit,"Decision temperature doubled (DECISION_TEMPERATURE T=2.0): action-selection softmax utilities divided by 2x the calibrated temperature, flattening every agent's invest/innovate/explore/maintain mix toward uniform.",Decision-mixing test: raising T flattens action probabilities and measures whether mixed action selection attenuates convergent entry.,fixed_mixed,expanded,paired
DECISION_NOISE_LOW,emergence_audit,Decision temperature halved (DECISION_TEMPERATURE T=0.5): action-selection softmax sharpened toward argmax — agents act nearly deterministically on their utilities.,Deterministic-action bracket: lowering T sharpens action probabilities and pairs with DECISION_NOISE_HIGH to bound decision-mixing effects.,fixed_mixed,expanded,paired
